param_svm__C,param_svm__gamma,param_svm__kernel,CV_Accuracy,CV_Accuracy_std,CV_Precision,CV_Precision_std,CV_Recall,CV_Recall_std,CV_F1_weighted,CV_F1_weighted_std,Rank,Fit_Time_sec
1.0,0.1,rbf,0.6591,0.0368,0.676,0.0327,0.6591,0.0368,0.6591,0.037,1,0.013
1.0,scale,rbf,0.6576,0.0382,0.6769,0.0315,0.6576,0.0382,0.6571,0.0386,2,0.0121
10.0,scale,rbf,0.6405,0.0238,0.6563,0.0277,0.6405,0.0238,0.6413,0.0245,3,0.0132
10.0,0.1,rbf,0.6377,0.0243,0.655,0.0195,0.6377,0.0243,0.6396,0.0227,4,0.0133
0.1,0.1,rbf,0.6148,0.0408,0.638,0.0397,0.6148,0.0408,0.6109,0.0435,5,0.0142
1.0,scale,poly,0.6149,0.0433,0.6283,0.0418,0.6149,0.0433,0.6078,0.0451,6,0.0124
1.0,0.1,poly,0.6135,0.0413,0.6327,0.0447,0.6135,0.0413,0.6078,0.0433,7,0.014
10.0,scale,poly,0.6063,0.0372,0.6175,0.0372,0.6063,0.0372,0.6036,0.0391,8,0.0165
10.0,0.1,poly,0.6049,0.0279,0.614,0.0241,0.6049,0.0279,0.6027,0.0298,9,0.0234
0.1,scale,rbf,0.6063,0.049,0.6281,0.0528,0.6063,0.049,0.6,0.0529,10,0.0143
0.1,0.1,poly,0.6091,0.0421,0.6237,0.038,0.6091,0.0421,0.5999,0.0481,11,0.0126
0.1,scale,poly,0.5849,0.0343,0.6171,0.0404,0.5849,0.0343,0.5547,0.0455,12,0.0132
10.0,0.1,linear,0.5492,0.0445,0.5532,0.0586,0.5492,0.0445,0.5235,0.0525,13,0.0852
10.0,scale,linear,0.5492,0.0445,0.5532,0.0586,0.5492,0.0445,0.5235,0.0525,13,0.0872
1.0,scale,linear,0.5478,0.0452,0.5518,0.0593,0.5478,0.0452,0.5225,0.0529,15,0.0188
1.0,0.1,linear,0.5478,0.0452,0.5518,0.0593,0.5478,0.0452,0.5225,0.0529,15,0.0192
0.1,0.1,linear,0.5464,0.046,0.5503,0.0602,0.5464,0.046,0.5214,0.0533,17,0.0118
0.1,scale,linear,0.5464,0.046,0.5503,0.0602,0.5464,0.046,0.5214,0.0533,17,0.0119
