param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,CV_Accuracy,CV_Accuracy_std,CV_Precision,CV_Precision_std,CV_Recall,CV_Recall_std,CV_F1_weighted,CV_F1_weighted_std,Rank,Fit_Time_sec
,1,5,200,0.7104,0.0228,0.7225,0.0183,0.7104,0.0228,0.7118,0.0209,1,0.2704
10,1,5,200,0.709,0.0123,0.722,0.014,0.709,0.0123,0.7109,0.0113,2,0.2635
,2,2,100,0.709,0.0278,0.721,0.0211,0.709,0.0278,0.7106,0.0262,3,0.1352
10,1,5,100,0.7062,0.0233,0.7169,0.0188,0.7062,0.0233,0.7075,0.0217,4,0.1311
,2,5,100,0.7047,0.0297,0.7167,0.0214,0.7047,0.0297,0.7066,0.0276,5,0.1334
,2,2,200,0.7048,0.031,0.7185,0.0239,0.7048,0.031,0.7062,0.0301,6,0.2663
10,2,2,100,0.7019,0.031,0.7131,0.0223,0.7019,0.031,0.7034,0.0289,7,0.1388
10,2,2,200,0.7004,0.034,0.7138,0.0271,0.7004,0.034,0.7022,0.0318,8,0.2648
,1,5,100,0.7004,0.0264,0.7116,0.02,0.7004,0.0264,0.7017,0.0251,9,0.1346
,2,5,200,0.699,0.0329,0.7116,0.0228,0.699,0.0329,0.7005,0.0308,10,0.2629
,1,2,100,0.699,0.0216,0.7109,0.0159,0.699,0.0216,0.6999,0.0194,11,0.1443
10,1,2,200,0.6976,0.0251,0.7102,0.0192,0.6976,0.0251,0.6993,0.023,12,0.2778
,1,2,200,0.6947,0.0353,0.7071,0.0296,0.6947,0.0353,0.6963,0.0329,13,0.2878
10,2,5,200,0.6919,0.0291,0.7057,0.0201,0.6919,0.0291,0.6936,0.0259,14,0.2606
10,2,5,100,0.6904,0.0197,0.7045,0.0108,0.6904,0.0197,0.6923,0.017,15,0.1343
10,1,2,100,0.6776,0.0221,0.6891,0.0164,0.6776,0.0221,0.6793,0.02,16,0.1413
