Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Kamis,6,10,344,76,4,1,425,0
Kamis,6,20,453,85,4,1,543,0
Kamis,6,30,514,114,6,1,635,0
Kamis,6,40,559,128,4,2,693,0
Kamis,6,50,741,126,5,1,873,1
Kamis,6,60,759,155,4,1,919,2
Kamis,7,10,678,131,6,0,815,2
Kamis,7,20,647,144,8,1,800,4
Kamis,7,30,636,147,8,2,793,3
Kamis,7,40,595,119,11,1,726,3
Kamis,7,50,588,133,7,3,731,3
Kamis,7,60,559,142,7,1,709,1
Kamis,8,50,535,145,13,1,694,2
Kamis,8,60,565,206,5,6,782,3
Kamis,15,10,616,242,16,5,879,0
Kamis,16,10,859,349,9,2,1219,0
Kamis,16,20,917,288,9,7,1221,0
Kamis,17,60,9,144,1,0,154,9
Kamis,18,10,18,128,0,0,146,6
Kamis,18,20,16,91,1,0,108,3
Kamis,18,30,36,92,0,0,128,3
Kamis,18,40,49,120,0,0,169,4
Kamis,18,50,67,113,2,0,182,4
Kamis,18,60,73,129,3,0,205,5
Kamis,19,10,63,123,2,0,188,4
Kamis,19,20,44,156,0,0,200,6
Kamis,19,30,46,150,2,0,198,6
Kamis,19,40,21,100,0,0,121,4
Kamis,19,50,29,97,0,0,126,5
Kamis,19,60,23,95,2,0,120,6
