Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Jumat,6,10,307,79,4,1,391,0
Jumat,6,20,395,106,5,2,508,0
Jumat,6,30,461,105,6,2,574,0
Jumat,6,40,517,127,5,3,652,0
Jumat,6,50,451,116,6,2,575,0
Jumat,6,60,512,129,6,1,648,0
Jumat,7,10,486,134,9,1,630,2
Jumat,7,20,374,163,6,2,545,3
Jumat,7,30,290,166,7,0,463,3
Jumat,7,40,349,131,12,2,494,2
Jumat,7,50,349,151,3,1,504,2
Jumat,7,60,338,156,7,0,501,2
Jumat,8,10,368,171,7,1,547,2
Jumat,8,20,372,138,10,4,524,1
Jumat,8,30,463,160,10,1,634,3
Jumat,8,40,474,165,15,5,659,2
Jumat,8,50,472,174,9,5,660,2
Jumat,8,60,576,191,5,2,774,2
Jumat,15,10,560,280,23,7,870,0
Jumat,15,20,721,286,17,8,1032,0
Jumat,15,30,775,298,11,5,1089,0
Jumat,15,40,715,251,7,6,979,0
Jumat,15,50,711,290,12,7,1020,0
Jumat,15,60,476,307,11,3,797,0
Jumat,16,10,93,241,5,1,340,0
Jumat,16,20,23,232,2,0,257,0
Jumat,16,30,5,163,2,1,171,0
Jumat,16,40,0,37,0,0,37,0
Jumat,16,50,5,116,0,0,121,0
Jumat,16,60,11,164,1,0,176,0
Jumat,17,10,31,215,1,2,249,4
Jumat,17,20,43,213,4,2,262,8
Jumat,17,30,53,190,1,2,246,5
Jumat,17,40,22,205,4,0,231,5
Jumat,17,50,10,163,0,0,173,7
Jumat,17,60,4,131,1,0,136,5
Jumat,18,10,0,58,0,0,58,5
Jumat,18,20,5,100,0,0,105,6
Jumat,18,30,6,100,0,0,106,4
Jumat,18,40,22,110,1,0,133,4
Jumat,18,50,13,117,1,0,131,3
Jumat,18,60,18,101,2,0,121,8
Jumat,19,10,22,158,0,0,180,9
Jumat,19,20,31,123,0,0,154,6
Jumat,19,30,37,137,1,0,175,7
Jumat,19,40,27,147,1,0,175,9
Jumat,19,50,41,152,2,0,195,9
Jumat,19,60,30,133,1,0,164,9
