Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Senin,6,10,455,88,8,4,555,0
Senin,6,20,424,98,4,0,526,0
Senin,6,30,459,89,5,2,555,0
Senin,6,40,474,110,4,3,591,0
Senin,6,50,455,129,3,0,587,0
Senin,6,60,454,118,6,0,578,0
Senin,7,10,495,111,7,0,613,1
Senin,7,20,452,148,8,1,609,2
Senin,7,30,325,150,8,3,486,3
Senin,7,40,320,146,9,1,476,2
Senin,7,50,451,159,8,2,620,3
Senin,7,60,450,158,10,3,621,3
Senin,8,10,508,144,5,3,660,0
Senin,8,20,505,150,6,0,661,1
Senin,8,30,567,193,6,4,770,3
Senin,8,40,568,169,6,3,746,2
Senin,8,50,493,188,8,5,694,2
Senin,8,60,575,210,7,4,796,2
Senin,15,10,579,257,13,5,854,0
Senin,15,20,712,316,18,7,1053,0
Senin,15,30,643,312,15,10,980,0
Senin,15,40,684,249,8,4,945,0
Senin,15,50,632,260,8,2,902,0
Senin,15,60,613,284,11,8,916,0
Senin,16,10,575,272,8,7,862,0
Senin,16,20,753,256,3,2,1014,0
Senin,16,30,253,166,4,2,425,0
Senin,16,40,83,237,1,1,322,0
Senin,16,50,34,76,0,1,111,0
Senin,16,60,9,103,1,0,113,0
Senin,17,10,81,250,2,1,334,4
Senin,17,20,30,197,4,0,231,6
Senin,17,30,30,207,0,2,239,8
Senin,17,40,10,114,0,0,124,4
Senin,17,50,6,165,4,0,175,7
Senin,17,60,9,103,1,0,113,8
Senin,18,10,16,122,1,0,139,6
Senin,18,20,13,95,0,0,108,2
Senin,18,30,24,103,0,1,128,2
Senin,18,40,22,110,0,0,132,2
Senin,18,50,26,113,0,0,139,4
Senin,18,60,33,119,1,0,153,3
Senin,19,10,21,105,1,0,127,5
Senin,19,20,10,69,1,0,80,5
Senin,19,30,8,85,0,0,93,6
Senin,19,40,21,108,0,0,129,5
Senin,19,50,29,137,3,0,169,5
Senin,19,60,27,133,1,0,161,4
