Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Selasa,6,10,212,50,4,0,266,0
Selasa,6,20,248,51,5,2,306,0
Selasa,6,30,248,65,3,2,318,0
Selasa,6,40,285,87,6,4,382,0
Selasa,6,50,275,52,4,0,331,0
Selasa,6,60,306,61,5,0,372,0
Selasa,7,10,422,75,8,0,505,0
Selasa,7,20,422,84,2,0,508,0
Selasa,7,30,415,87,8,1,511,0
Selasa,7,40,394,89,6,1,490,0
Selasa,7,50,401,85,10,1,497,0
Selasa,7,60,404,86,2,2,494,0
Selasa,8,10,390,107,6,1,504,0
Selasa,8,20,414,110,5,0,529,0
Selasa,8,30,403,132,7,1,543,0
Selasa,8,40,422,120,4,2,548,0
Selasa,8,50,415,118,9,1,543,0
Selasa,8,60,444,133,10,2,589,0
Selasa,15,10,380,183,14,2,579,0
Selasa,15,20,473,201,8,4,686,0
Selasa,15,30,541,229,5,3,778,0
Selasa,15,40,530,205,6,3,744,0
Selasa,15,50,447,221,8,3,679,0
Selasa,15,60,536,268,2,5,811,0
Selasa,16,10,482,207,7,3,699,0
Selasa,16,20,448,199,2,4,653,0
Selasa,16,30,564,226,4,1,795,0
Selasa,16,40,535,259,9,5,808,0
Selasa,16,50,498,234,3,3,738,0
Selasa,16,60,509,211,8,0,728,0
Selasa,17,10,430,209,8,1,648,0
Selasa,17,20,430,206,3,5,644,0
Selasa,17,30,231,181,4,1,417,0
Selasa,17,40,119,198,1,0,318,0
Selasa,17,50,14,108,2,0,124,0
Selasa,17,60,12,81,0,0,93,3
Selasa,18,10,21,68,0,0,89,1
Selasa,18,20,10,69,1,0,80,2
Selasa,18,30,13,67,0,0,80,1
Selasa,18,40,20,76,0,0,96,1
Selasa,18,50,23,79,0,0,102,0
Selasa,18,60,13,82,0,0,95,0
Selasa,19,10,11,59,1,0,71,0
Selasa,19,20,11,72,0,0,83,0
Selasa,19,30,35,113,0,0,148,0
Selasa,19,40,20,87,0,0,107,0
Selasa,19,50,22,67,0,0,89,1
Selasa,19,60,28,99,1,0,128,0
