Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Minggu,6,10,336,88,7,3,434,0
Minggu,6,20,371,100,6,1,478,0
Minggu,6,30,411,112,8,0,531,0
Minggu,6,40,473,122,8,2,605,0
Minggu,6,50,417,113,4,1,535,0
Minggu,6,60,386,123,10,0,519,0
Minggu,7,10,344,116,3,1,464,0
Minggu,7,20,313,100,5,1,419,0
Minggu,7,30,317,128,10,4,459,0
Minggu,7,40,251,129,8,1,389,0
Minggu,7,50,302,160,4,0,466,0
Minggu,7,60,394,184,5,3,586,0
Minggu,8,10,402,171,8,3,584,1
Minggu,8,20,347,154,10,0,511,0
Minggu,8,30,395,190,9,0,594,0
Minggu,8,40,450,206,10,0,666,0
Minggu,8,50,523,195,5,1,724,0
Minggu,8,60,585,224,4,3,816,1
Minggu,15,10,443,214,13,3,673,2
Minggu,15,20,516,231,14,1,762,1
Minggu,15,30,570,178,6,0,754,1
Minggu,15,40,496,246,11,0,753,1
Minggu,15,50,515,228,6,0,749,0
Minggu,15,60,602,231,11,1,845,1
Minggu,16,10,515,203,7,0,725,0
Minggu,16,20,502,210,3,1,716,0
Minggu,16,30,606,218,8,2,834,2
Minggu,16,40,506,194,6,0,706,1
Minggu,16,50,590,242,8,1,841,2
Minggu,16,60,438,197,2,2,639,0
Minggu,17,10,447,202,9,3,661,1
Minggu,17,20,424,199,8,1,632,0
Minggu,17,30,291,219,6,3,519,1
Minggu,17,40,120,161,0,1,282,0
Minggu,17,50,33,142,1,0,176,3
Minggu,17,60,13,73,0,0,86,0
Minggu,18,10,20,70,1,0,91,1
Minggu,18,20,25,82,0,0,107,0
Minggu,18,30,20,83,0,0,103,0
Minggu,18,40,23,81,0,0,104,2
Minggu,18,50,15,106,1,0,122,0
Minggu,18,60,12,63,1,0,76,0
Minggu,19,10,24,87,0,0,111,1
Minggu,19,20,23,100,0,0,123,0
Minggu,19,30,19,90,0,0,109,0
Minggu,19,40,21,82,2,0,105,1
Minggu,19,50,18,87,0,0,105,1
Minggu,19,60,28,111,2,0,141,0
