Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Kamis,6,10,306,85,6,3,400,0
Kamis,6,20,323,56,5,1,385,0
Kamis,6,30,367,65,2,2,436,0
Kamis,6,40,352,55,7,2,416,0
Kamis,6,50,335,65,8,1,409,0
Kamis,6,60,304,69,1,1,375,0
Kamis,7,10,318,52,8,1,379,0
Kamis,7,20,323,49,4,1,377,0
Kamis,7,30,411,72,3,0,486,0
Kamis,7,40,297,60,2,2,361,0
Kamis,7,50,309,89,8,1,407,0
Kamis,7,60,345,71,8,2,426,0
Kamis,8,10,322,79,7,2,410,0
Kamis,8,20,314,94,6,1,415,0
Kamis,8,30,400,108,9,3,520,0
Kamis,8,40,389,106,9,3,507,1
Kamis,8,50,417,104,5,4,530,0
Kamis,8,60,440,108,7,4,559,0
Kamis,15,10,435,197,8,3,643,0
Kamis,15,20,524,212,15,1,752,0
Kamis,15,30,507,204,6,2,719,0
Kamis,15,40,502,180,9,2,693,0
Kamis,15,50,572,203,13,3,791,0
Kamis,15,60,546,198,6,2,752,0
Kamis,16,10,553,169,4,1,727,0
Kamis,16,20,600,217,9,3,829,0
Kamis,16,30,589,201,3,4,797,0
Kamis,16,40,470,228,10,2,710,0
Kamis,16,50,444,179,6,2,631,0
Kamis,16,60,498,228,5,2,733,0
Kamis,17,10,311,167,4,1,483,3
Kamis,17,20,337,206,7,2,552,5
Kamis,17,30,305,160,2,2,469,1
Kamis,17,40,145,153,3,4,305,3
Kamis,17,50,40,138,5,2,185,1
Kamis,17,60,9,53,0,0,62,0
Kamis,18,10,7,32,0,0,39,1
Kamis,18,20,11,31,0,0,42,1
Kamis,18,30,18,43,0,0,61,3
Kamis,18,40,25,50,0,0,75,0
Kamis,18,50,15,73,0,0,88,4
Kamis,18,60,21,82,0,0,103,4
Kamis,19,10,18,64,0,0,82,3
Kamis,19,20,15,70,0,0,85,3
Kamis,19,30,17,64,1,0,82,2
Kamis,19,40,27,63,0,0,90,3
Kamis,19,50,25,89,1,0,115,5
Kamis,19,60,28,62,0,0,90,3
