Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Rabu,6,10,345,74,3,1,423,0
Rabu,6,20,428,77,4,1,510,0
Rabu,6,30,482,90,10,3,585,0
Rabu,6,40,509,83,2,2,596,0
Rabu,6,50,528,98,6,2,634,0
Rabu,6,60,590,93,6,0,689,0
Rabu,7,10,663,101,8,4,776,0
Rabu,7,20,720,111,9,2,842,1
Rabu,7,30,719,124,8,3,854,2
Rabu,7,40,596,138,6,0,740,1
Rabu,7,50,657,139,5,3,804,0
Rabu,7,60,557,150,3,2,712,2
Rabu,8,10,456,123,6,3,588,2
Rabu,8,20,475,139,2,0,616,3
Rabu,8,30,499,118,6,1,624,1
Rabu,8,40,479,157,13,2,651,1
Rabu,8,50,436,132,3,2,573,2
Rabu,8,60,502,145,5,4,656,1
Rabu,15,10,586,234,9,4,833,0
Rabu,15,20,590,222,9,3,824,0
Rabu,15,30,490,233,4,0,727,0
Rabu,15,40,601,201,5,2,809,0
Rabu,15,50,583,254,11,3,851,0
Rabu,15,60,579,219,7,0,805,0
Rabu,16,10,653,221,5,2,881,0
Rabu,16,20,726,254,15,2,997,0
Rabu,16,30,704,245,4,1,954,0
Rabu,16,40,733,234,4,2,973,0
Rabu,16,50,769,268,4,1,1042,0
Rabu,16,60,695,246,4,6,951,0
Rabu,17,10,579,230,6,2,817,0
Rabu,17,20,631,242,6,1,880,1
Rabu,17,30,514,284,4,2,804,4
Rabu,17,40,300,296,3,2,601,1
Rabu,17,50,55,199,0,1,255,2
Rabu,17,60,45,133,2,0,180,1
Rabu,18,10,18,92,0,0,110,0
Rabu,18,20,22,98,1,0,121,0
Rabu,18,30,18,80,0,0,98,1
Rabu,18,40,26,73,1,0,100,1
Rabu,18,50,34,109,0,0,143,2
Rabu,18,60,19,79,0,0,98,1
Rabu,19,10,10,88,0,0,98,2
Rabu,19,20,20,99,1,0,120,1
Rabu,19,30,14,65,0,0,79,0
Rabu,19,40,18,70,1,0,89,0
Rabu,19,50,12,77,0,0,89,1
Rabu,19,60,29,77,3,0,109,0
