Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Minggu,6,10,333,85,11,1,430,0
Minggu,6,20,349,83,9,1,442,0
Minggu,6,30,399,71,5,2,477,0
Minggu,6,40,384,98,5,3,490,0
Minggu,6,50,311,75,4,2,392,0
Minggu,6,60,384,97,9,1,491,0
Minggu,7,10,337,80,5,1,423,0
Minggu,7,20,328,100,6,1,435,0
Minggu,7,30,394,96,11,0,501,0
Minggu,7,40,432,104,8,0,544,1
Minggu,7,50,437,112,10,1,560,0
Minggu,7,60,459,109,11,0,579,0
Minggu,8,10,469,123,10,4,606,1
Minggu,8,20,561,134,9,2,706,0
Minggu,8,30,560,146,12,3,721,1
Minggu,8,40,630,136,6,4,776,1
Minggu,8,50,577,150,12,2,741,3
Minggu,8,60,527,172,4,5,708,1
Minggu,15,10,292,209,4,1,506,3
Minggu,15,20,271,216,11,3,501,3
Minggu,15,30,344,254,5,2,605,4
Minggu,15,40,156,132,1,2,291,2
Minggu,15,50,230,224,4,1,459,5
Minggu,15,60,175,208,8,3,394,3
Minggu,16,10,19,122,2,0,143,5
Minggu,16,20,0,69,1,0,70,4
Minggu,16,30,16,86,3,0,105,3
Minggu,16,40,26,173,2,0,201,7
Minggu,16,50,17,188,1,0,206,4
Minggu,16,60,27,207,4,0,238,5
Minggu,17,10,13,184,3,0,200,5
Minggu,17,20,6,156,4,0,166,2
Minggu,17,30,7,153,3,0,163,3
Minggu,17,40,7,153,1,1,162,4
Minggu,17,50,12,109,1,0,122,2
Minggu,17,60,16,90,4,0,110,3
Minggu,18,10,15,97,1,0,113,4
Minggu,18,20,16,78,1,0,95,3
Minggu,18,30,15,103,1,0,119,1
Minggu,18,40,29,125,4,0,158,4
Minggu,18,50,35,100,1,0,136,5
Minggu,18,60,39,110,0,0,149,3
Minggu,19,10,31,131,0,0,162,4
Minggu,19,20,48,121,2,0,171,5
Minggu,19,30,25,160,3,0,188,7
Minggu,19,40,42,133,1,0,176,4
Minggu,19,50,47,183,2,0,232,6
Minggu,19,60,34,136,1,0,171,5
