Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Selasa,6,10,241,67,5,1,314,0
Selasa,6,20,345,108,6,1,460,0
Selasa,6,30,330,85,3,1,419,0
Selasa,6,40,376,116,5,1,498,0
Selasa,6,50,392,116,6,3,517,0
Selasa,6,60,480,112,3,1,596,1
Selasa,7,10,439,107,6,0,552,1
Selasa,7,30,517,127,8,1,653,1
Selasa,7,40,368,125,12,0,505,2
Selasa,7,50,466,155,4,4,629,2
Selasa,7,60,437,144,11,0,592,2
Selasa,8,10,445,186,3,6,640,2
Selasa,8,20,489,141,8,2,640,1
Selasa,8,30,527,154,6,1,688,1
Selasa,8,40,554,172,8,4,738,2
Selasa,8,50,511,177,11,3,702,2
Selasa,8,60,599,183,7,1,790,3
Selasa,15,10,478,298,10,20,806,0
Selasa,15,20,489,263,12,17,781,0
Selasa,15,30,501,261,6,4,772,0
Selasa,15,40,387,259,6,2,654,0
Selasa,15,50,35,226,6,2,269,0
Selasa,15,60,13,140,3,1,157,0
Selasa,16,10,18,150,1,1,170,0
Selasa,16,20,32,227,3,1,263,0
Selasa,16,30,138,218,8,3,367,0
Selasa,16,40,402,270,2,5,679,0
Selasa,16,50,305,238,2,3,548,0
Selasa,16,60,166,228,5,0,399,0
Selasa,17,10,144,234,8,2,388,2
Selasa,17,20,41,209,5,0,255,5
Selasa,17,30,26,205,4,2,237,6
Selasa,17,40,21,177,2,0,200,7
Selasa,17,50,22,174,0,0,196,5
Selasa,17,60,15,102,0,0,117,5
Selasa,18,10,17,101,0,0,118,3
Selasa,18,20,10,83,1,0,94,1
Selasa,18,30,25,102,1,0,128,1
Selasa,18,40,28,102,0,0,130,3
Selasa,18,50,25,98,1,0,124,2
Selasa,18,60,32,102,2,0,136,0
Selasa,19,10,41,107,0,0,148,4
Selasa,19,20,37,149,1,0,187,10
Selasa,19,30,47,123,0,0,170,8
Selasa,19,40,56,110,1,0,167,3
Selasa,19,50,68,131,0,0,199,7
Selasa,19,60,64,141,0,0,205,5
