Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Sabtu,6,30,397,69,5,1,472,0
Sabtu,6,40,397,77,4,2,480,0
Sabtu,6,50,411,89,5,3,508,0
Sabtu,6,60,447,81,2,1,531,0
Sabtu,7,10,477,86,11,1,575,0
Sabtu,7,20,423,94,6,1,524,0
Sabtu,7,30,485,118,7,3,613,2
Sabtu,7,40,493,97,5,4,599,0
Sabtu,7,50,582,117,8,2,709,1
Sabtu,7,60,663,136,4,2,805,1
Sabtu,8,10,571,141,12,2,726,1
Sabtu,8,20,533,128,8,4,673,1
Sabtu,8,30,601,179,12,2,794,0
Sabtu,8,40,615,189,12,4,820,0
Sabtu,8,50,556,141,6,2,705,0
Sabtu,8,60,534,152,6,5,697,0
Sabtu,15,10,426,259,8,2,695,0
Sabtu,15,20,517,208,4,2,731,0
Sabtu,15,30,620,261,9,7,897,0
Sabtu,15,40,723,255,6,5,989,
Sabtu,15,50,613,259,5,11,888,
Sabtu,15,60,639,276,3,3,921,
Sabtu,16,10,719,271,8,3,1001,
Sabtu,16,20,688,263,4,7,962,
Sabtu,16,30,637,236,4,3,880,
Sabtu,16,40,812,216,4,5,1037,
Sabtu,16,50,629,249,6,1,885,
Sabtu,16,60,545,237,3,1,786,
Sabtu,17,10,503,238,3,5,749,
Sabtu,17,20,374,247,2,2,625,
Sabtu,17,30,249,221,4,0,474,
Sabtu,17,40,37,165,0,0,202,
Sabtu,17,50,26,123,1,0,150,
Sabtu,17,60,16,111,0,0,127,
Sabtu,18,10,19,92,0,0,111,
Sabtu,18,20,18,77,2,0,97,
Sabtu,18,30,22,86,0,0,108,
Sabtu,18,40,23,98,0,0,121,
Sabtu,18,50,33,91,0,0,124,
Sabtu,18,60,24,101,1,0,126,
Sabtu,19,10,22,81,0,0,103,
Sabtu,19,20,14,97,0,0,111,
Sabtu,19,30,14,107,1,0,122,
Sabtu,19,40,20,68,0,0,88,
Sabtu,19,50,17,106,0,0,123,
Sabtu,19,60,21,120,0,0,141,
