Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Sabtu,6,10,243,79,4,1,327,0
Sabtu,6,20,288,57,3,0,348,0
Sabtu,6,30,393,85,2,2,482,0
Sabtu,6,40,336,81,3,0,420,0
Sabtu,6,50,365,93,6,0,464,0
Sabtu,6,60,442,110,4,0,556,0
Sabtu,7,10,496,68,6,0,570,0
Sabtu,7,20,349,109,5,0,463,1
Sabtu,7,30,398,109,5,0,512,0
Sabtu,7,40,338,116,9,0,463,1
Sabtu,7,50,291,113,14,1,419,0
Sabtu,7,60,393,105,11,2,511,1
Sabtu,8,10,386,126,5,1,518,1
Sabtu,8,20,515,140,9,2,666,1
Sabtu,8,30,503,132,8,3,646,1
Sabtu,8,40,541,163,11,5,720,1
Sabtu,8,50,474,168,8,5,655,2
Sabtu,8,60,518,167,8,2,695,2
Sabtu,15,10,614,274,7,3,898,0
Sabtu,15,20,569,166,11,3,749,0
Sabtu,15,30,706,186,8,1,901,0
Sabtu,15,40,808,279,8,4,1099,0
Sabtu,15,50,708,285,4,1,998,0
Sabtu,15,60,790,275,5,2,1072,0
Sabtu,16,10,924,295,5,4,1228,0
Sabtu,16,20,789,248,6,4,1047,0
Sabtu,16,30,782,255,4,1,1042,0
Sabtu,16,50,770,237,5,3,1015,0
Sabtu,16,60,710,264,3,1,978,0
Sabtu,17,10,583,227,9,1,820,3
Sabtu,17,20,600,236,3,6,845,7
Sabtu,17,30,535,238,6,3,782,6
Sabtu,17,40,394,209,4,1,608,4
Sabtu,17,50,181,220,2,1,404,6
Sabtu,17,60,38,117,2,0,157,3
Sabtu,18,10,29,94,0,0,123,2
Sabtu,18,20,20,70,1,0,91,3
Sabtu,18,30,17,71,1,0,89,1
Sabtu,18,40,19,72,0,0,91,1
Sabtu,18,50,45,95,0,0,140,4
Sabtu,18,60,36,100,1,0,137,5
Sabtu,19,10,13,61,1,0,75,4
Sabtu,19,20,21,111,1,0,133,4
Sabtu,19,30,24,113,1,0,138,8
Sabtu,19,40,30,95,0,0,125,6
Sabtu,19,50,40,137,2,0,179,8
Sabtu,19,60,36,126,0,0,162,9
