SeninHari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Senin,16,10,759,274,11,6,1050
Senin,16,20,719,276,13,6,1014
Senin,16,30,596,290,7,6,899
Senin,16,40,800,290,4,6,1100
Senin,16,50,799,250,3,3,1055
Senin,16,60,308,189,1,4,502
