SeninHari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Senin,17,10,91,278,4,0,373
Senin,17,20,201,267,8,3,479
Senin,17,30,83,223,1,0,307
Senin,17,40,81,227,1,0,309
Senin,17,50,28,167,1,0,196
Senin,17,60,4,123,0,0,127
