Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Kamis,8,10,322,79,7,2,410
Kamis,8,20,314,94,6,1,415
Kamis,8,30,400,108,9,3,520
Kamis,8,40,389,106,9,3,507
Kamis,8,50,417,104,5,4,530
Kamis,8,60,440,108,7,4,559
