Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Kamis,7,10,678,131,6,0,815
Kamis,7,20,647,144,8,1,800
Kamis,7,30,636,147,8,2,793
Kamis,7,40,595,119,11,1,726
Kamis,7,50,588,133,7,3,731
Kamis,7,60,559,142,7,1,709
