Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Jumat,7,10,486,134,9,1,630
Jumat,7,20,374,163,6,2,545
Jumat,7,30,290,166,7,0,463
Jumat,7,40,349,131,12,2,494
Jumat,7,50,349,151,3,1,504
Jumat,7,60,338,156,7,0,501
