Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Jumat,15,10,560,280,23,7,870
Jumat,15,20,721,286,17,8,1032
Jumat,15,30,775,298,11,5,1089
Jumat,15,40,715,251,7,6,979
Jumat,15,50,711,290,12,7,1020
Jumat,15,60,476,307,11,3,797
