Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Rabu,6,10,311,70,6,3,390
Rabu,6,20,342,75,2,3,422
Rabu,6,30,362,100,2,1,465
Rabu,6,40,366,90,8,3,467
Rabu,6,50,337,102,6,1,446
Rabu,6,60,287,101,1,1,390
