Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Selasa,16,10,18,150,1,1,170
Selasa,16,20,32,227,3,1,263
Selasa,16,30,138,218,8,3,367
Selasa,16,40,402,270,2,5,679
Selasa,16,50,305,238,2,3,548
Selasa,16,60,166,228,5,0,399
