Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Minggu,8,10,469,123,10,4,606
Minggu,8,20,561,134,9,2,706
Minggu,8,30,560,146,12,3,721
Minggu,8,40,630,136,6,4,776
Minggu,8,50,577,150,12,2,741
Minggu,8,60,527,172,4,5,708
