Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Kamis,19,10,63,123,2,0,188
Kamis,19,20,44,156,0,0,200
Kamis,19,30,46,150,2,0,198
Kamis,19,40,21,100,0,0,121
Kamis,19,50,29,97,0,0,126
Kamis,19,60,23,95,2,0,120
