Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Minggu,8,10,285,103,5,1,394
Minggu,8,20,415,75,5,2,497
Minggu,8,30,406,124,3,2,535
Minggu,8,40,469,104,8,0,581
Minggu,8,50,435,96,4,1,536
Minggu,8,60,455,120,7,0,582
