Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Rabu,6,10,345,74,3,1,423
Rabu,6,20,428,77,4,1,510
Rabu,6,30,482,90,10,3,585
Rabu,6,40,509,83,2,2,596
Rabu,6,50,528,98,6,2,634
Rabu,6,60,590,93,6,0,689
