Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Rabu,7,10,663,101,8,4,776
Rabu,7,20,720,111,9,2,842
Rabu,7,30,719,124,8,3,854
Rabu,7,40,596,138,6,0,740
Rabu,7,50,657,139,5,3,804
Rabu,7,60,557,150,3,2,712
