Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Senin,8,10,508,144,5,3,660
Senin,8,20,505,150,6,0,661
Senin,8,30,567,193,6,4,770
Senin,8,40,568,169,6,3,746
Senin,8,50,493,188,8,5,694
Senin,8,60,575,210,7,4,796
