SeninHari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Senin,18,10,4,101,2,0,107
Senin,18,20,7,97,0,0,104
Senin,18,30,14,110,1,0,125
Senin,18,40,19,95,2,0,116
Senin,18,50,7,81,2,0,90
Senin,18,60,4,76,2,0,82
