Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Rabu,7,10,677,125,8,2,812
Rabu,7,20,690,156,10,4,860
Rabu,7,30,625,128,13,1,767
Rabu,7,40,647,134,9,1,791
Rabu,7,50,740,131,11,4,886
Rabu,7,60,677,156,7,2,842
