Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan
Jumat,16,10,415,151,11,1,578
Jumat,16,20,483,202,6,3,694
Jumat,16,30,385,147,4,3,539
Jumat,16,40,477,150,5,1,633
Jumat,16,50,437,164,8,2,611
Jumat,16,60,425,208,2,1,636
